Season,Episode,Number,Title,Director,Writer,Date,Code,Viewers,Description,Rating,ANGEL,ANYA,BUFFY,CORDELIA,DAWN,FAITH,GILES,JOYCE,RILEY,SPIKE,WILLOW,XANDER
1,1,1,"""Welcome to the Hellmouth""",Charles Martin Smith,Joss Whedon,"March 10, 1997",4V01,4.59,"A vampire named Darla, a member of the Order of Aurelius and a servant of The Master, murders a student and stuffs him in a locker. Buffy Summers arrives in Sunnydale hoping to have a fresh start free from her Slayer responsibilities. Popular yet vapid cheerleader Cordelia Chase attempts to befriend Buffy, but Buffy is repulsed by Cordelia's dismissive treatment of outcasts Xander Harris, Willow Rosenberg, and Jesse McNally. Buffy meets her new Watcher, Sunnydale High's librarian Rupert Giles, who warns Buffy that an increase in supernatural phenomena in Sunnydale in recent years is an indication of a forthcoming demon uprising. A mysterious figure named Angel, claiming to be a friend, offers guidance and warns about a ""Harvest"". That night, at a nightclub called The Bronze, a group of vampires led by Darla attempt to kidnap Willow and Jesse. Buffy manages to kill one of the vampires and scares Darla off, rescuing Willow, but a stronger vampire named Luke corners her.",8.2,0.026526526526526525,0.0,0.31206206206206205,0.09484484484484484,0.0,0.0,0.14364364364364365,0.046296296296296294,0.0,0.0,0.09734734734734735,0.08708708708708708
1,2,2,"""The Harvest""",John T. Kretchmer,Joss Whedon,"March 10, 1997",4V02,4.59,"After escaping from Luke, Buffy regroups with Giles, Xander, and Willow. Following up on Angel's cryptic clue, Giles and Willow investigate the Harvest in books of demon mythology while Buffy and Xander venture into the sewers in search of Jesse. To their horror, they discover that Jesse has been sired into a vampire and only narrowly escape him. Giles and Willow have discovered that Sunnydale is built on a Hellmouth, a portal to demon dimensions, and that the Harvest is an event where a ""vessel"" of the Master drinks the blood of several victims to increase The Master's strength. Realizing that the Harvest will take place that night at The Bronze, the gang prepares for battle. Buffy is forced to navigate her fractured relationship with her mother Joyce, who is oblivious to Buffy's Slayer role and believes her to be delinquent. At The Bronze, Buffy interrupts the Harvest and kills the vampires, infuriating The Master. The following day, Giles worries that Buffy and her friends are ill-equipped for the fight ahead of them.",8.0,0.01976393082624211,0.0,0.23387318144386496,0.07329124348064782,0.0,0.0,0.17650288223991217,0.029645896239363163,0.0,0.0,0.1065056272303047,0.13670052154817458
1,3,3,"""Witch""",Stephen Cragg,Dana Reston,"March 17, 1997",4V03,4.63,"At try-outs for Sunnydale High's cheerleading squad, one entrant spontaneously catches fire. Buffy, Willow, Xander, and Giles investigate. Another hopeful, Amy, stumbles during practice, knocking over Cordelia, and does not make the team. Soon after, Cordelia becomes disoriented and loses her sight. Buffy narrowly saves her from being run over. Buffy suspects that Amy may be a witch, causing these and other incidents in an attempt to make the cheerleading team. Buffy spills a potion on Amy and it turns blue, indicating recent use of magic. Amy realizes what is going on and casts a spell on Buffy that threatens to kill her if left unreversed. Arriving at Amy's home, Giles and Buffy confront her ""mother"", but quickly realize that Amy's mother Catherine, a witch and former cheerleader herself, has possessed her daughter's body. Giles works to reverse the spells, and is able to just before Catherine kills Buffy. After the spells are reversed, the two fight, and Buffy is able to reflect a spell back on Catherine, who is apparently killed. Restored to her original body, Amy and Buffy become friends, while Catherine is shown to be trapped inside a cheerleading trophy.",7.8,0.0,0.0,0.26172500571951496,0.03683367650423244,0.0,0.0,0.16540837336993822,0.08876687256920614,0.0,0.0,0.10272248913292154,0.15282544040265386
1,4,4,"""Teacher's Pet""",Bruce Seth Green,David Greenwalt,"March 24, 1997",4V04,2.98,"Shortly after a conversation with Buffy, Sunnydale's science teacher Dr Gregory is attacked and goes missing. At a party, Angel appears and warns Buffy that somebody is coming. A substitute teacher, Miss French, arrives, and Xander and other boys at Sunnydale, including Blayne, are immediately smitten. Arriving at the class, Buffy notices that Dr. Gregory's glasses have been left abandoned. Later, Cordelia stumbles upon Dr. Gregory's headless corpse. Buffy investigates the death of a homeless man, suspecting it may be connected, and confronts a vampire she finds in the park. The vampire flees, encounters Miss French and is frightened by her, while Buffy watches. Buffy deduces that Miss French is a giant praying mantis. Buffy tries to warn Xander, but Miss French has released pheromones that seduce Xander. He goes to Miss French's house, where she drugs and imprisons him alongside Blayne, intending to use them to fertilize her eggs. Buffy and Giles track down the house, with the help of the vampire she met in the park earlier, and are able to kill Miss French in time to save Xander and Blayne. Under Dr. Gregory's desk, some mantis eggs hatch.",7.0,0.011235955056179775,0.0,0.3007577737130912,0.021949307551607004,0.0,0.0,0.17010713352495427,0.0,0.0,0.0,0.06819963417820747,0.19806637052521558
1,5,5,"""Never Kill a Boy on the First Date""",David Semel,Rob Des Hotel & Dean Batali,"March 31, 1997",4V05,4.09,"After slaying a vampire, Buffy and Giles find a ring that they link with a prophecy of the Anointed One, who can free the Master from his prison. Buffy arranges a date with a student named Owen, but Giles believes that the prophecy will be fulfilled that evening. The two wait at the graveyard, but see nothing. That evening, a bus crashes and five people die after vampires attack it. Giles connects the crash to the prophecy, but Buffy decides to leave with Owen. Giles visits the funeral home, and is cornered by vampires. Angel warns Buffy about the Prophecy, but she dismisses the warnings until Willow and Xander show up. Owen follows the three to the funeral home, and Buffy leaves him with Xander and Willow. However, they run into a victim of the bus crash, now a vampire. Buffy, Giles, and Owen subdue the vampire, before Buffy forces him into a furnace. The next day, Owen asks for another date, but Buffy refuses, fearing for his safety should they stay together. Giles and Buffy take comfort in believing that they stopped the prophecy, but the real Anointed One, a young boy, meets the Master in his underground lair.",7.5,0.011057792614229085,0.0,0.3329856040058419,0.02983517629876904,0.0,0.0,0.2065512205299395,0.0,0.0,0.0,0.05528896307114542,0.09993740872105153
1,6,6,"""The Pack""",Bruce Seth Green,Matt Kiene & Joe Reinkemeyer,"April 7, 1997",4V06,3.42,"At the zoo, four students sneak into the hyena habitat. Xander follows, hoping to rescue them, while Buffy and Willow are stopped by a zookeeper. The four students and Xander are possessed by the hyenas' spirits. The spirits cause the group to act increasingly strangely, Xander refusing to study with Willow before insulting her, and the whole group attacking another student at a dodgeball game. A piglet mascot for the school acts panicked in Xander's presence, and the group later kill and eat it. Buffy suspects that something has affected Xander, but Giles is initially skeptical. Buffy captures Xander, while the other four possessed students attack and eat the principal. Buffy and Giles return to the zoo, while Willow guards Xander. Buffy and Giles meet the zookeeper, and together they form a plan to reverse the possession. The four other students find Xander and Willow, and are able to free Xander. Buffy lures the group back to the zoo, while Giles learns that the zookeeper had intended to absorb the spirits himself. When the group turns up, he takes control of the hyenas' spirits, but Buffy and the now-free Xander force him into the hyena enclosure, where he is eaten.",7.5,0.0,0.0,0.27103923330338425,0.0,0.0,0.0,0.15992812219227315,0.0,0.0,0.0,0.17430368373764601,0.18957771787960467
1,7,7,"""Angel""",Scott Brazil,David Greenwalt,"April 14, 1997",4V07,3.39,"The Master sends three warrior vampires after Buffy, but with Angel's help she escapes, although Angel is injured. The pair retreat to Buffy's house. Angel explains that he fights vampires because his family was killed by them. The Master has the three warriors killed in front of the Anointed One. The next day, Buffy returns to Angel, and after he confesses his attraction to her, they kiss. Angel pulls back, revealing his true vampire face, and leaves. Giles learns that Angel used to be called Angelus, a vampire who lived in Europe before moving to America and becoming a recluse. Darla bites Buffy's mother Joyce, and attempts to frame Angel for it. He resists the temptation to bite, but Buffy arrives while he is still holding Joyce's unconscious body. Buffy drives Angel away, takes Joyce to hospital, and goes to kill Angel, tracking him to The Bronze, where the two briefly fight. Angel reveals that he killed his family, along with a Romani girl, whose family cursed him by restoring his soul. Darla shoots at Angel and Buffy, before Angel kills Darla. Later, Angel and Buffy meet, and the two share a kiss before saying goodbye.",8.6,0.10586517400827453,0.0,0.28839133609150647,0.009247992212217084,0.0,0.0,0.12874178632270625,0.06084205402774397,0.0,0.0,0.10026770503772207,0.0929666585543928
1,8,8,"""I, Robot... You, Jane""",Stephen Posey,Ashley Gable & Thomas A. Swyden,"April 28, 1997",4V08,2.47,"In 1418, priests trap the demon Moloch inside a book. In the present day, Willow scans that book into the computer. The text in the book disappears. The following week, Willow tells Buffy that she has developed an online relationship with a boy called ""Malcolm"". Moloch, who has passed into the computer, instructs a student named Fritz to watch Buffy. Wanting to learn more about ""Malcolm"", Buffy talks to another student, Dave, who warns Buffy to leave Willow alone. Willow asks to meet ""Malcolm"", but when he shares information about Buffy's past, Willow becomes suspicious and ends the chat. Dave tells Buffy that Willow wants to meet her, but then warns her just before she is electrocuted in a trap set by Fritz. Fritz fakes Dave's suicide on Moloch's orders. Giles asks Jenny Calendar, Sunnydale's computing teacher, to work with him to stop Moloch. He is surprised to learn that Jenny is already familiar with demons. Fritz kidnaps Willow, taking her to a facility where Moloch, who pretended to be Malcolm, has taken control of a robotic body. Moloch also kills Fritz. Giles and Jenny cast a spell to purge Moloch from the internet, while Buffy destroys his robot host.",6.8,0.0,0.0,0.29395900755124055,0.0,0.0,0.0,0.23975188781014023,0.0,0.0,0.0,0.1267529665587918,0.13969795037756202
1,9,9,"""The Puppet Show""",Ellen S. Pressman,Rob Des Hotel & Dean Batali,"May 5, 1997",4V09,2.56,"Shortly after a rehearsal for a talent show, a girl is killed and her heart removed. Giles, Buffy, Willow, and Xander investigate, and are led to Morgan, a ventriloquist with a dummy called Sid. After an incident at her house, Buffy suspects that Sid is self-aware. In a history class, the teacher confiscates Sid, and Xander steals the dummy. When Sid remains inanimate, Xander mocks Buffy's suspicions. Buffy leaves to find Morgan, and when Xander turns his back, Sid disappears. Buffy finds Morgan backstage, dead and missing his brain. A chandelier falls on Buffy and traps her. Sid stabs at her, but Buffy escapes and subdues him. Sid reveals that he also hunts demons, and thought that Buffy was one. Sid explains that he was cursed to become a dummy, and needs to kill the real demon to lift the curse, although to do so would mean his death. Buffy finds Morgan's brain, and after discovering that he was suffering from brain cancer, realizes that the demon still needs a viable brain. The demon ties Giles to a guillotine. Buffy, Xander, and Willow free Giles, and Sid cuts out the demon's heart, ending his curse and dying.",7.8,0.0,0.0,0.2550556117290192,0.04019211324570273,0.0,0.0,0.18554095045500504,0.02249747219413549,0.0,0.0,0.08088978766430738,0.10111223458038422
1,10,10,"""Nightmares""",Bruce Seth Green,Story by : Joss WhedonTeleplay by : David Greenwalt,"May 12, 1997",4V10,3.47,"In class, Buffy sees a boy standing outside the door, and immediately afterwards a student, Wendell, opens his book to reveal several spiders. Wendell tells Willow and Xander that he regularly has nightmares about spiders. Several other students also experience their nightmares coming true. A girl, Laura, is attacked by a demon. Buffy and Giles visit her in hospital, where they see a boy, Billy, in a coma. Buffy realizes that Billy is the boy she saw earlier. Buffy's dad, Hank Summers, who was due to spend the weekend with Buffy, tells her that she was responsible for he and Joyce splitting up. Buffy talks to Billy, and is attacked by the demon that attacked Laura. Attempting to escape, the pair end up in the graveyard, and encounter The Master, who pushes Buffy into a coffin and buries her. Buffy escapes, but has become a vampire. Giles suggests that waking Billy will end the nightmares. However, Billy refuses to wake, scared of the demon. Buffy attacks and defeats the demon, proving to Billy that it is no threat. Billy wakes, restoring reality. Later, Hank behaves normally, revealing that their previous interaction was a nightmare.",8.3,0.0,0.0,0.2490293954520244,0.024958402662229616,0.0,0.0,0.1403216860787576,0.03438713255684969,0.0,0.0,0.12007764836383805,0.13810316139767054
1,11,11,"""Out of Mind, Out of Sight""",Reza Badiyi,Story by : Joss WhedonTeleplay by : Ashley Gable & Thomas A. Swyden,"May 19, 1997",4V11,3.36,"In the changing rooms, a student hears a girl laughing, but sees nothing, before being beaten with a baseball bat. Later, a girl falls down the stairs but claims she was pushed, although nobody sees who pushed her. Cordelia rescues her English teacher from suffocation. Buffy hears a flute playing, and deduces that Marcie, a flautist who disappeared some months ago, has become invisible and is behind the incidents. Separately, Angel tells Giles that he can find a book vital to Giles's research about The Master. Giles suggests that Marcie became invisible as a direct result of being ignored by everybody at the school. Cordelia asks Buffy for help, and confesses that, despite being popular, she often feels alone. Marcie traps Xander, Willow, and Giles in the boiler room filling up with gas. Angel rescues them before giving Giles the book. Marcie kidnaps Cordelia and Buffy, taking both to The Bronze and tying them up. Marcie plans to disfigure Cordelia's face, slashing it once before Buffy breaks loose. Initially hampered by being unable to see Marcie, Buffy focuses and defeats her. Men dressed in black arrive and take Marcie to a class with other invisible people, to learn about assassination.",7.8,0.03165015704276395,0.0,0.20536361439961343,0.2640734476926794,0.0,0.0,0.1461705726020778,0.0,0.0,0.0,0.06281710558105823,0.09760811790287509
1,12,12,"""Prophecy Girl""",Joss Whedon,Joss Whedon,"June 2, 1997",4V12,3.97,"Reading the book that Angel gave him, Giles discovers a prophecy that the Slayer shall die in battle against The Master. An earthquake shakes Sunnydale, indicating that the prophecy is imminent. Xander asks Buffy to the upcoming prom, but she declines. Buffy overhears Angel and Giles discussing the prophecy, and that she will die the following night. She quits slaying in an attempt to avoid her fate, preparing instead to go to the prom. Willow and Cordelia come across a room full of students killed by vampires. Willow tells Buffy, and Buffy decides to fight after all. Giles attempts to persuade Buffy not to fight, but she knocks him out and leaves. Buffy meets with the Anointed One, who leads her to The Master. Xander persuades Angel to join the fight. The Master easily overpowers Buffy, biting her and leaving her for dead. He breaks free of the magical barrier holding him captive. Jenny and Willow are surrounded by vampires, but are rescued by Cordelia. Angel and Xander find Buffy and resuscitate her. Displaying newfound strength, Buffy confronts The Master. After a brief fight, Buffy overpowers him and he is impaled on broken furniture, closing the Hellmouth.",8.9,0.048426150121065374,0.0,0.23849878934624696,0.07082324455205811,0.0,0.0,0.20006053268765134,0.04933414043583535,0.0,0.0,0.1016949152542373,0.2179176755447942
2,1,13,"""When She Was Bad""",Joss Whedon,Joss Whedon,"September 15, 1997",5V01,4.37,"After a quiet summer, Xander and Willow are attacked by a vampire, but saved by Buffy, who has returned from Los Angeles. Buffy has a dream where the Master, whom she had killed earlier, attacks her again. Angel appears in Buffy's room and warns her that The Anointed One is gathering vampires to him. At The Bronze, Buffy flirts with Xander in front of Angel and Willow. Cordelia confronts Buffy about her behavior, but Buffy rejects the advice and leaves. Soon after Buffy's back is turned, Cordelia is attacked and kidnapped. Buffy discovers that The Master's skeleton has disappeared from the grave, and Giles suggests that The Anointed One will attempt to use the skeleton to revive him. Someone delivers a message to the library, summoning Buffy to The Bronze. On the way, she runs into Angel, and challenges him to a fight, but they go to the Bronze together. Once there, they find only a single vampire. At the library, several vampires capture Giles and Willow, taking them, along with Cordelia and Jenny Calendar, to The Master's skeleton. Buffy finds them and attacks the vampires, overpowering them and smashing the skeleton, while Angel and Xander rescue the prisoners.",8.2,0.045431472081218276,0.0,0.2383248730964467,0.0649746192893401,0.0,0.0,0.12715736040609138,0.025380710659898477,0.0,0.0,0.11142131979695431,0.19137055837563452
2,2,14,"""Some Assembly Required""",Bruce Seth Green,Ty King,"September 22, 1997",5V02,4.42,"After killing some vampires, Buffy and Angel find an open grave, from which the body has been stolen. Later, Cordelia and Angel come across body parts belonging to three girls who died in a car crash. Buffy and her friends suspect that two science students, Chris and Eric, have been using the body parts to create a new body, with the intention of resurrecting it to build a bride for Chris's brother Daryl, who had died several months earlier and has already been reanimated. Chris and Eric decide that they need a fresh head, as the process of adding formaldehyde to the corpses has caused the brains to decay too quickly. They attempt to kidnap Cordelia, but Buffy arrives in time to rescue her. Buffy persuades Chris to abandon the plan, but Eric and Daryl kidnap Cordelia at a football game. Chris leads Buffy to the lab, where she fights Daryl. During the fight, Buffy accidentally sets the lab on fire. Daryl stays with the unfinished body and burns along with it. Separately, Giles and Jenny enjoy a first date and make plans for a second, while Angel and Buffy walk to his home, holding hands.",7.2,0.061150261423050696,0.0,0.25687656285519433,0.1118436008183678,0.0,0.0,0.1377585814957945,0.0,0.0,0.0,0.10434189588542851,0.10547851784496476
2,3,15,"""School Hard""",John T. Kretchmer,Story by : Joss Whedon & David GreenwaltTeleplay by : David Greenwalt,"September 29, 1997",5V03,4.86,"Buffy and a fellow student, Sheila, are tasked with helping out on the upcoming parent-teacher evening. Two vampires, Spike and Drusilla, who is currently ill, arrive in Sunnydale, and meet The Anointed One. Spike offers to deal with Buffy. At The Bronze, Spike introduces himself to Buffy and promises to kill her. Spike takes Sheila to Drusilla, who turns Sheila into a vampire. Angel reveals that he knows Spike from his past life as Angelus, and Giles learns that Spike has previously killed two Slayers. At the parent-teacher evening, Spike, Sheila, and several other vampires attack the attendees, including Buffy's mother Joyce and Principal Snyder. Buffy locks the adults in a room for safety before facing the vampires. Angel arrives, pretending to be Angelus, but Spike sees through the ruse. Angel and Xander retreat. Sheila joins Buffy, and attempts to attack her, but Giles warns Buffy in time. Spike defeats Buffy, but before he can kill her, Joyce attacks him, and he leaves. Snyder covers up the incident as gang-related. The Anointed One attempts to extract penance from Spike, but Spike forces him into sunlight, killing him. Spike declares that there should be ""more fun"" around Sunnydale from now on.",8.9,0.03596757852077001,0.0,0.23024316109422494,0.04635258358662614,0.0,0.0,0.09878419452887538,0.09599797365754813,0.0,0.1540020263424519,0.05800405268490375,0.07016210739614995
2,4,16,"""Inca Mummy Girl""",Ellen S. Pressman,Matt Kiene & Joe Reinkemeyer,"October 6, 1997",5V04,4.7,"At a museum, a mummified Incan princess is revived after sucking the life force from a student who broke her seal of protection. Buffy and her friends notice that the student is missing, and go to the museum, finding his corpse in place of the mummy's. The mummy kills an exchange student who was due to meet Buffy, and takes his place, calling herself Ampata. Xander is smitten with Ampata, and the two start a relationship. Ampata asks Giles to destroy the seal. A man later revealed to be the princess's bodyguard attacks Ampata on several occasions, but she eventually kills him. Ampata tells Buffy the story of how the Incan girl was sacrificed to save her people, a story Buffy sympathizes with as the Slayer. Xander and Ampata go to a dance together. At the dance, the guitarist, Oz, notices Willow. Buffy and Giles find the real exchange student's body, and realize that Ampata is the mummy. Ampata kisses Xander, but pushes him away before sucking his life force. Giles tries to repair the seal, but Ampata stops him. In the ensuing fight, Ampata tries to restore herself fully by kissing Xander, but wastes away.",7.3,0.0,0.0,0.2166048237476809,0.03896103896103896,0.0055658627087198514,0.0,0.1280148423005566,0.011595547309833023,0.0,0.0,0.10551948051948051,0.2388682745825603
2,5,17,"""Reptile Boy""",David Greenwalt,David Greenwalt,"October 13, 1997",5V05,4.77,"A girl attempts to escape a frat party, but is recaptured. Buffy and Giles are pleased at the apparent lack of activity around the Hellmouth. Giles hopes to use the time to train, but Buffy is reluctant. Buffy meets Angel, and they discuss dating, but Angel is reluctant and Buffy leaves angrily. Buffy chooses to go with Cordelia to a frat party. Xander also attends the party, but is recognized as a gate crasher and forced to dress as a girl. At the party, the pair are drugged and chained up in the basement along with the girl captured earlier. The frat boys are in fact members of a cult worshiping Machida, a reptile demon, to whom the girls are offered as a sacrifice. Giles, Willow, and Angel realize the danger Buffy is in. Cordelia is chosen as the first sacrifice, but Buffy distracts Machida, breaks free of her chains and kills the demon, while Giles, Willow, Xander, and Angel arrive and subdue the rest of the party. The frat boys are all arrested and the cult collapses. Giles promises to push Buffy less hard in future. Angel asks to have coffee with Buffy.",7.3,0.03463100071650346,0.0,0.18461905899211847,0.11965607833771197,0.0,0.0,0.11655122999761165,0.0,0.0,0.0,0.15165989968951515,0.11511822307141151
